"name","basin_area_1000km2","tss_tonkm2y1","trapping_eff","fournier_precip_mmd1","fournier_slope_mkm1","lithology_class","grass_pct","wetland_rice_pct","poc_pred_tonkmyr1","pn_pred_tonkmyr1","pp_pred_tonkmyr1","source"
"Fly",61,1881,0,11.2,15,2,0,0,10.2,1.6,0.5,1
"Damodar",60,470,0.22,7.8,3,3,0,5,2.3,0.4,0.1,1
"Onega",59,5,0.02,1.9,4,2,3,0,0.6,0.1,0,1
"Ord",59,374,0,3.9,6,3,85,0,8.4,1.3,0.4,2
"Garonne",58,38,0,2.5,19,3,0,0,0.8,0.1,0,1
"Sakarya",57,154,0.43,1.7,23,3,7,0,0.4,0.1,0,1
"Appalachicola",55,3,0.72,4.1,3,4,0,0,0.5,0.1,0,2
"Nadym",53,7,0,1.6,1,3,0,0,0.5,0.1,0,1
"Kemijoki",50,3,0.32,1.5,7,4,0,0,0.3,0.1,0,2
"Glama",47,321,0,2.2,30,4,0,0,1.5,0.2,0.1,1
"Luan",46,430,0,3,11,1,71,1,0,0,0,1
"Weser",46,7,0,2,7,2,0,0,0.7,0.1,0,1
"Yesil",45,424,0.53,1.7,31,3,4,1,1.8,0.3,0.1,1
"Meuse",43,16,0,2.5,6,3,0,0,1,0.2,0,1
"Hudson",43,23,0.25,2.7,13,4,0,0,1,0.2,0,1
"Altamaha",42,60,0,3.6,2,4,0,0,0.2,0,0,1
"Santee",41,25,0.89,3.5,8,4,0,0,0.6,0.1,0,1
"Potomac",38,19,0,2.7,16,4,0,0,0.7,0.1,0,1
"Purari",34,2379,0,8.7,26,4,0,0,6.7,1,0.3,1
"Pee Dee",28,14,0,3.2,6,4,0,0,0.5,0.1,0,1
"Hanjiang",25,395,0,6.2,11,4,0,8,2.6,0.4,0.1,1
"Amguema",23,22,0,1.3,19,3,0,0,1.2,0.2,0.1,1
"Schelde",22,46,0.79,2.2,3,2,0,0,0.6,0.1,0,1
"Delaware",21,32,0,2.8,7,2,0,0,0.8,0.1,0,1
"Nag Dong",20,500,0.1,5.8,18,4,0,8,2.6,0.4,0.1,1
"Drammenselva",20,92,0,2.5,30,4,0,0,2,0.3,0.1,1
